origin_city,origin_country,origin_station,destination_city,destination_country,destination_station,operator_name,duration,trip_count,frequency_bucket,transport_type,frequency_daily,frequency_label
Munich,DE,Munich central bus station,Freiburg (im Breisgau) central,FR,Freiburg (im Breisgau) central station,FlixBus/EU,04:50,114.0,Very High,,,
Freiburg (im Breisgau) central,FR,Freiburg (im Breisgau) central station,Munich,DE,Munich central bus station,FlixBus/EU,04:50,112.0,Very High,,,
Zurich,FR,Zurich Bus Station,Munich,DE,Munich central bus station,FlixBus/EU,04:50,58.0,Very High,,,
Munich,DE,Munich central bus station,Zurich,FR,Zurich Bus Station,FlixBus/EU,04:50,59.0,Very High,,,
The Hague (Central Station),NL,The Hague (Central Station),Lörrach central train,FR,Lörrach central train station,FlixBus/EU,12:45,2.0,Very Low,,,
The Hague (Central Station),NL,The Hague (Central Station),Zurich,FR,Zurich Bus Station,FlixBus/EU,14:25,4.0,Very Low,,,
Zurich,FR,Zurich Bus Station,The Hague (Central Station),NL,The Hague (Central Station),FlixBus/EU,14:35,4.0,Very Low,,,
Lörrach central train,FR,Lörrach central train station,The Hague (Central Station),NL,The Hague (Central Station),FlixBus/EU,12:45,2.0,Very Low,,,
The Hague (Central Station),NL,The Hague (Central Station),Heidelberg central train,FR,Heidelberg central train station,FlixBus/EU,09:25,1.0,Very Low,,,
Heidelberg central train,FR,Heidelberg central train station,The Hague (Central Station),NL,The Hague (Central Station),FlixBus/EU,09:15,1.0,Very Low,,,
Reutlingen,FR,Reutlingen central bus station,Freiburg (im Breisgau) central,FR,Freiburg (im Breisgau) central station,FlixBus/EU,04:10,29.0,High,,,
Freiburg (im Breisgau) central,FR,Freiburg (im Breisgau) central station,Stuttgart Airport Busterminal (SAB),FR,Stuttgart Airport Busterminal (SAB),FlixBus/EU,02:50,19.0,Average,,,
Stuttgart Airport Busterminal (SAB),FR,Stuttgart Airport Busterminal (SAB),Freiburg (im Breisgau) central,FR,Freiburg (im Breisgau) central station,FlixBus/EU,03:05,11.0,Low,,,
Freiburg (im Breisgau) central,FR,Freiburg (im Breisgau) central station,Reutlingen,FR,Reutlingen central bus station,FlixBus/EU,04:05,21.0,Average,,,
Freiburg (im Breisgau) central,FR,Freiburg (im Breisgau) central station,Amsterdam Sloterdijk,NL,Amsterdam Sloterdijk,FlixBus/EU,11:45,6.0,Low,,,
